,symbol,timeframe,entry_time,exit_time,type,lots,profit,entry_price,exit_price,signal_confidence,entry_spread,duration_minutes
count,120,120,120,120,120,120.0,120.0,120.0,120.0,120.0,120.0,120.0
unique,2,1,,,2,,,,,,,
top,EURUSDm,M1,,,SELL,,,,,,,
freq,68,120,,,69,,,,,,,
mean,,,2024-04-01 00:59:30,2024-04-01 01:02:30,,0.05532122503589919,3.9500420364732483,1.153356127129004,1.140263337382182,0.7529787091677987,0.00012679591368066695,3.0
min,,,2024-04-01 00:00:00,2024-04-01 00:03:00,,0.01036431812802477,-34.714108188858845,1.0506458280059188,1.0505888886035901,0.6014069216609466,5.07946481446789e-05,3.0
25%,,,2024-04-01 00:29:45,2024-04-01 00:32:45,,0.036777187909876156,-5.606487150985959,1.0986573444287073,1.0850951632065098,0.6746959821270236,9.03781138343011e-05,3.0
50%,,,2024-04-01 00:59:30,2024-04-01 01:02:30,,0.05631962902233259,4.5823878481712,1.1492398462471534,1.1444559238498777,0.7577381201802471,0.0001323300652074542,3.0
75%,,,2024-04-01 01:29:15,2024-04-01 01:32:15,,0.07636788174783977,13.798593540929296,1.2084823454498816,1.1873716912313141,0.8301914768619983,0.00015866042790876702,3.0
max,,,2024-04-01 01:59:00,2024-04-01 02:02:00,,0.0992300300260734,34.83497263752859,1.2474218203231144,1.2380866084933795,0.8978374168641061,0.0001992302548092759,3.0
std,,,,,,0.025075087425302376,14.023299092005482,0.062434751595296205,0.0579352476206111,0.0830651068538236,4.107382494322785e-05,0.0
