,symbol,timeframe,entry_time,exit_time,type,lots,profit,entry_price,exit_price,signal_confidence,entry_spread,duration_minutes
count,200,200,200,200,200,200.0,200.0,200.0,200.0,200.0,200.0,200.0
unique,2,1,,,2,,,,,,,
top,EURUSDm,M1,,,BUY,,,,,,,
freq,105,200,,,101,,,,,,,
mean,,,2024-04-01 01:39:29.999999744,2024-04-01 01:44:30,,0.054093817471164714,4.105804661554398,1.1520397684129091,1.146698742176103,0.7479611301463287,0.00012432562422194974,5.0
min,,,2024-04-01 00:00:00,2024-04-01 00:05:00,,0.011555490396532777,-55.55408468680555,1.0501215292637305,1.0506952335134347,0.6029983170800162,5.064834584520537e-05,5.0
25%,,,2024-04-01 00:49:45,2024-04-01 00:54:45,,0.032722894870633304,-14.635708394712225,1.1083519826720853,1.0977895876194133,0.6800015918843414,8.79126586572645e-05,5.0
50%,,,2024-04-01 01:39:30,2024-04-01 01:44:30,,0.05275072547311968,2.1615918119462347,1.1525060319650053,1.1451544617089748,0.7466457590215274,0.00012199084567024104,5.0
75%,,,2024-04-01 02:29:15,2024-04-01 02:34:15,,0.07757315676040273,24.360132959562307,1.2000715059138307,1.1964717766864448,0.8172360083414303,0.0001633559284996827,5.0
max,,,2024-04-01 03:19:00,2024-04-01 03:24:00,,0.09989925711995692,68.1917378558336,1.249201557204167,1.2498641026701116,0.8997569062403972,0.00019910571041111832,5.0
std,,,,,,0.025541133165826572,26.236044602680597,0.05566155994645238,0.058346090868019826,0.08470465542424335,4.491609791525616e-05,0.0
